"PX0001M" "PX0003M" "PX0006M" "PX0012M" "BALB03M" "ESP001M" "ESP003M" "ESP006M" "ESP012M" "NY0001M" "NY0003M" "NY0006M" "NY0012M" "TAB3M" "CORN3M" "CORN6M" "PORB3M" "FS0003M" "FS0006M" "SOLK1M" "SOLK3M" "SOLK6M" "YY0003M" "YY0006M" "PIB3M" "DIDA01M" "DIDA03M" "DIDA06M" "PORK01" "PORK03" "BURP03M" "BURP06M" "DETL01" "PONYA" "PONYO/N" "KEEPCALM" "TOLSTOY" "CORAL" "HFXX1T" "SAXX1T"
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-5-24" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-4-29" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-9-6" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-5-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-9-22" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-5-4" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-5-5" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-11-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-11-23" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-12-23" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-12-31" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-1-1" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-1-2" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-1-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-2-11" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-4-29" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-5-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-5-4" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-5-5" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-11-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-11-23" "" "" "" ""
